set,colsample_bytree,gamma,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,subsample,f1_macro_cv,precision_macro_cv,recall_macro_cv,roc_auc_cv,train_accuracy
363,1.0,1.0,0.1,6,100,0.0,2.0,0.8,0.7828083521926777,0.8104157398370159,0.7776597860134445,0.9317362963701079,0.9467353951890034
146,0.8,1.0,0.1,3,100,0.0,1.0,1.0,0.7827244601527749,0.810317390930736,0.7788512300707422,0.9310852545077261,0.9209621993127147
154,0.8,1.0,0.1,3,200,0.0,1.0,1.0,0.7827244601527749,0.810317390930736,0.7788512300707422,0.9310852545077261,0.9209621993127147
162,0.8,1.0,0.1,3,300,0.0,1.0,1.0,0.7827244601527749,0.810317390930736,0.7788512300707422,0.9310852545077261,0.9209621993127147
326,1.0,1.0,0.05,6,200,1.0,1.0,1.0,0.7826915971166755,0.8004108774964374,0.7808501390208706,0.930927471667345,0.9278350515463918
334,1.0,1.0,0.05,6,300,1.0,1.0,1.0,0.7826915971166755,0.8004108774964374,0.7808501390208706,0.9308796476596932,0.9278350515463918
320,1.0,1.0,0.05,6,100,1.0,2.0,1.0,0.7826065743044219,0.8056371535121871,0.7798049308415161,0.9314388393995824,0.9261168384879725
95,0.8,0.0,0.1,6,300,1.0,2.0,0.8,0.7823621840299841,0.8207982511730982,0.7697718473937986,0.9235472397057004,1.0
373,1.0,1.0,0.1,6,200,1.0,1.0,0.8,0.7823030089157789,0.8031970211604275,0.7827807693661352,0.9346377175104518,0.929553264604811
381,1.0,1.0,0.1,6,300,1.0,1.0,0.8,0.7823030089157789,0.8031970211604275,0.7827807693661352,0.934310162511844,0.9278350515463918
7,0.8,0.0,0.05,3,100,1.0,2.0,0.8,0.7822518711672992,0.800908340933284,0.7844726885580544,0.9326523565476406,0.9003436426116839
177,0.8,1.0,0.1,6,200,0.0,1.0,0.8,0.7822279765710064,0.8083780758076964,0.7791591876957732,0.9308009725823654,0.9484536082474226
185,0.8,1.0,0.1,6,300,0.0,1.0,0.8,0.7822279765710064,0.8083780758076964,0.7791591876957732,0.9304088973734073,0.9467353951890034
125,0.8,1.0,0.05,6,100,1.0,1.0,0.8,0.7822141038400964,0.8109092966697006,0.7796642382008236,0.9330817358897798,0.9209621993127147
103,0.8,1.0,0.05,3,100,1.0,2.0,0.8,0.78221035727945,0.8003120121974204,0.7844726885580545,0.9328045471120723,0.8969072164948454
171,0.8,1.0,0.1,6,100,0.0,2.0,0.8,0.7821857285353406,0.8025990231436987,0.7813561573927428,0.9312920338136637,0.9450171821305842
155,0.8,1.0,0.1,3,200,0.0,2.0,0.8,0.7821793936618073,0.8034066403725847,0.7844067856262977,0.9328129427654407,0.929553264604811
332,1.0,1.0,0.05,6,300,0.0,2.0,1.0,0.7819231970243584,0.7983586075352722,0.7820222257417379,0.9282730243868581,0.9467353951890034
316,1.0,1.0,0.05,6,100,0.0,2.0,1.0,0.7819231970243584,0.7983586075352722,0.7820222257417379,0.9282578901710569,0.9467353951890034
324,1.0,1.0,0.05,6,200,0.0,2.0,1.0,0.7819231970243584,0.7983586075352722,0.7820222257417379,0.9282730243868581,0.9467353951890034
30,0.8,0.0,0.05,6,100,1.0,1.0,1.0,0.7819156941196701,0.8186754293578039,0.7732852039559357,0.9287613634799865,0.9673539518900344
72,0.8,0.0,0.1,3,300,1.0,2.0,1.0,0.7819036696599733,0.7998131546815757,0.7810534790412839,0.9248661028978702,0.9776632302405498
152,0.8,1.0,0.1,3,100,1.0,2.0,1.0,0.7817683697238954,0.7961223808311433,0.7844930137613064,0.932734570143867,0.9020618556701031
160,0.8,1.0,0.1,3,200,1.0,2.0,1.0,0.7817683697238954,0.7961223808311433,0.7844930137613064,0.932734570143867,0.9020618556701031
168,0.8,1.0,0.1,3,300,1.0,2.0,1.0,0.7817683697238954,0.7961223808311433,0.7844930137613064,0.932734570143867,0.9020618556701031
100,0.8,1.0,0.05,3,100,0.0,2.0,1.0,0.7817537846452793,0.7962571168961118,0.783088726991166,0.9296403361818563,0.8986254295532646
308,1.0,1.0,0.05,3,300,0.0,2.0,1.0,0.781744870363039,0.8006528394792488,0.7813561573927428,0.928519364216265,0.9209621993127147
300,1.0,1.0,0.05,3,200,0.0,2.0,1.0,0.781744870363039,0.8006528394792488,0.7813561573927428,0.928519364216265,0.9192439862542955
9,0.8,0.0,0.05,3,200,0.0,1.0,0.8,0.7817343058173851,0.8096532179426916,0.7765932847640165,0.9307788267291957,0.936426116838488
170,0.8,1.0,0.1,6,100,0.0,1.0,1.0,0.781707066309919,0.8086732382230334,0.7794766480132334,0.9295706327723041,0.9484536082474226
186,0.8,1.0,0.1,6,300,0.0,1.0,1.0,0.781707066309919,0.8086732382230334,0.7794766480132334,0.9295706327723041,0.9484536082474226
178,0.8,1.0,0.1,6,200,0.0,1.0,1.0,0.781707066309919,0.8086732382230334,0.7794766480132334,0.9295706327723041,0.9484536082474226
253,1.0,0.0,0.1,3,200,1.0,1.0,0.8,0.781691036348332,0.797786086462557,0.7832514166050751,0.9267258983769352,0.9707903780068728
10,0.8,0.0,0.05,3,200,0.0,1.0,1.0,0.7816877564195505,0.8004089808786871,0.7827401189596311,0.9293412077430675,0.9329896907216495
